wl,n,k,eps_re,eps_im
0.52909,0.453925,2.213234,-4.692356833,2.009284487
0.53068,0.442152,2.238272,-4.814363155,1.979312883
0.53228,0.434186,2.26585,-4.94555874,1.967600696
0.53388,0.424638,2.289209,-5.060160415,1.944170263
0.53547,0.413271,2.314471,-5.18598309,1.913007489
0.53707,0.402307,2.338883,-5.308522765,1.881898006
0.53866,0.391228,2.359578,-5.41454899,1.846265964
0.54026,0.38073,2.380782,-5.523167599,1.812870262
0.54185,0.37124,2.401956,-5.631573488,1.783404291
0.54345,0.362631,2.424132,-5.744914711,1.758130823
0.54504,0.353649,2.447018,-5.862829477,1.730770937
0.54664,0.346089,2.470378,-5.982989867,1.709941303
0.54823,0.33995,2.491676,-6.092883286,1.694090512
0.54983,0.33477,2.517148,-6.223963101,1.685331272
0.55142,0.329217,2.540817,-6.347367194,1.672960301
0.55302,0.324647,2.564034,-6.468874679,1.664811892
0.55461,0.319851,2.588014,-6.595511802,1.655557732
0.55621,0.313088,2.607616,-6.701637108,1.632826556
0.5578,0.306739,2.628919,-6.817126294,1.61278397
0.5594,0.299786,2.647173,-6.917653246,1.58717081
0.56099,0.293758,2.664873,-7.015254344,1.565655525
0.56259,0.287899,2.684871,-7.125646452,1.545943352
0.56418,0.282125,2.70165,-7.219318207,1.524406013
0.56578,0.277413,2.720649,-7.324973009,1.509486802
0.56737,0.272752,2.740905,-7.438166566,1.495174641
0.56897,0.269,2.764068,-7.567710909,1.487068584
0.57056,0.265629,2.786241,-7.692580144,1.480212821
0.57216,0.262543,2.808574,-7.819159087,1.474742887
0.57375,0.258414,2.831796,-7.95229079,1.463551463
0.57535,0.254905,2.851605,-8.066674517,1.453776745
0.57694,0.251577,2.872737,-8.189326884,1.445429112
0.57854,0.246942,2.889963,-8.29090579,1.427306486
0.58013,0.243136,2.910237,-8.410364282,1.415166766
0.58173,0.239165,2.925803,-8.503123298,1.399499349
0.58332,0.236663,2.94193,-8.598942749,1.392491959
0.58491,0.231195,2.957199,-8.691574798,1.367379246
0.58651,0.227431,2.974251,-8.794444151,1.352873758
