G. Rosenblatt, B. Simkhovich, G. Bartal, M. Orenstein. Nonmodal plasmonics: Controlling the forced optical response of nanostructures, Phys. Rev. X 10, 011071 (2020)
wl,n,k,eps_re,eps_im
1.79,0.487016894,12.4591054,-154.9921219,12.13558963
1.8,0.49304987,12.5338306,-156.8538113,12.3596071
1.81,0.499136723,12.6085729,-158.7269731,12.58680352
1.82,0.505277806,12.6833331,-160.6116329,12.81721344
1.83,0.511473478,12.7581115,-162.5078039,13.05087132
1.84,0.5177241,12.8329087,-164.4155075,13.28781221
1.85,0.52403004,12.9077252,-166.3347624,13.52807151
1.86,0.530391669,12.9825617,-168.265593,13.77168514
1.87,0.536809363,13.0574184,-170.208011,14.01868891
1.88,0.543283504,13.1322961,-172.1620439,14.26911968
1.89,0.549814478,13.207195,-174.1277038,14.52301405
1.9,0.556402674,13.2821159,-176.1050188,14.78040961
1.91,0.563048487,13.357059,-178.0940015,15.04134372
1.92,0.569752319,13.4320249,-180.0946752,15.30585467
1.93,0.576514573,13.5070141,-182.1070608,15.57398093
1.94,0.583335658,13.5820269,-184.1311742,15.8457612
1.95,0.59021599,13.657064,-186.1670422,16.1212351
1.96,0.597155987,13.7321256,-188.2146782,16.40044203
1.97,0.604156073,13.8072123,-190.2741069,16.68342232
1.98,0.611216678,13.8823244,-192.3453449,16.97021641
1.99,0.618338234,13.9574625,-194.4284173,17.26086543
2,0.625521182,14.0326268,-196.5233382,17.55541061
